date,open,high,low,close,Volume USD
1646946000,2619.45,2622.12,2602.82,2603.18,495693.481980168
1646942400,2613.71,2622.25,2600.94,2618.71,858891.840021097
1646938800,2598.49,2617.39,2594.09,2615.68,1068815.67476778
1646935200,2593.9,2604.23,2586.65,2598.33,731151.352101236
1646931600,2595.83,2607.12,2585.86,2593.75,1124209.0959075
1646928000,2597.01,2607.49,2585.6,2595.71,770116.962377468
1646924400,2598.92,2623.67,2587.46,2596.69,1675502.72007214
1646920800,2572.78,2600.95,2561.44,2597.03,791598.251900035
1646917200,2603.67,2648.05,2546.81,2576.82,3219642.34724063
1646913600,2595.32,2611.29,2585.44,2600,1844180.311792
1646910000,2588.94,2598.94,2584,2596.17,380093.55548589
1646906400,2600,2603.3,2587.89,2592.06,783548.08677007
1646902800,2600.2,2612.58,2588.03,2601.44,2160103.29576895
1646899200,2593.39,2602.08,2577.19,2599.37,1098327.47712987
1646895600,2595.28,2607.04,2583.59,2594.66,1204845.64314281
1646892000,2590.42,2597.57,2572.9,2595.26,1045505.40133573
1646888400,2602.91,2606.01,2576.73,2590.97,700661.972850754
1646884800,2660.7,2663.73,2583.18,2604.29,2276013.11273561
1646881200,2656.38,2673.59,2654.73,2662.29,333202.058885094
1646877600,2664.85,2674.58,2656.54,2662.14,663239.085728084
1646874000,2709.7,2725.75,2654.98,2665.9,2022540.49305122
1646870400,2730.64,2733.75,2707.85,2709.33,171513.49386391
1646866800,2718.47,2734.69,2711.7,2728.45,124907.475483399
1646863200,2706.8,2728.71,2706.44,2715.73,418015.192040126
1646859600,2686.32,2710.95,2683.29,2708.32,247641.847879965
1646856000,2714.22,2729.01,2681.25,2686.45,924288.077859692
1646852400,2712.07,2721.5,2680,2716.02,981099.437136048
1646848800,2743.82,2746.28,2701.73,2712.07,1272718.06131511
1646845200,2746.74,2752.06,2734.37,2745.11,367489.059254176
1646841600,2758.89,2759.59,2739.61,2748.05,757180.810589997
1646838000,2737.24,2765.88,2734.51,2759.04,1830292.30112844
1646834400,2728.15,2746.28,2725.28,2738.43,1551549.42163384
1646830800,2742,2745.13,2711.36,2726.99,1268414.88843287
1646827200,2748.67,2769.49,2728.8,2739.87,1165539.84162623
1646823600,2758.66,2764.2,2741.08,2748.37,1396488.43744394
1646820000,2756.05,2761.27,2745.7,2757.92,1105682.77115481
1646816400,2756.31,2767.02,2752.2,2753.91,1208844.99093319
1646812800,2746,2774.64,2724.39,2756.31,2444483.4217517
